Date,Open,High,Low,Close,Adj Close,Volume
2020-04-09,85.000000,86.500000,82.949997,86.040001,84.723030,10474700
2020-04-13,86.320000,86.480003,83.519997,85.849998,84.535934,6665800
2020-04-14,87.000000,89.540001,86.500000,89.139999,88.145195,9861300
2020-04-15,90.010002,91.900002,88.510002,90.940002,89.925117,14128000
2020-04-16,92.599998,96.989998,91.139999,96.000000,94.928642,27036500
2020-04-17,97.449997,97.750000,94.239998,96.010002,94.938530,16074800
2020-04-20,94.820000,100.000000,94.650002,98.000000,96.906326,17251400
2020-04-21,96.099998,96.970001,93.620003,94.050003,93.000412,12030300
2020-04-22,94.279999,95.980003,92.790001,95.480003,94.414444,8370800
2020-04-23,95.870003,97.449997,93.349998,93.940002,92.891632,10567500
2020-04-24,94.500000,94.580002,92.779999,94.059998,93.010292,9017700
2020-04-27,95.480003,95.900002,94.019997,94.949997,93.890358,6838200
2020-04-28,94.879997,95.150002,91.339996,91.459999,90.439308,7805500
2020-04-29,92.089996,93.050003,91.070000,92.279999,91.250153,7068300
2020-04-30,91.849998,93.769997,91.849998,92.089996,91.062279,7978300
2020-05-01,91.000000,91.360001,88.750000,89.849998,88.847275,6839800
2020-05-04,89.790001,90.160004,88.709999,89.830002,88.827499,5036800
2020-05-05,90.949997,93.660004,90.389999,93.029999,91.991783,6747900
2020-05-06,93.150002,93.430000,91.029999,91.080002,90.063553,4248400
2020-05-07,92.139999,94.540001,91.809998,93.989998,92.941078,7255000
2020-05-08,94.839996,94.940002,92.900002,93.699997,92.654305,6170200
2020-05-11,93.220001,96.489998,93.139999,96.070000,94.997864,7239100
2020-05-12,96.459999,96.680000,93.730003,93.800003,92.753197,5384200
2020-05-13,93.269997,94.669998,90.839996,92.160004,91.131500,11622500
2020-05-14,90.500000,91.779999,89.339996,91.779999,90.755737,8189200
2020-05-15,89.959999,91.160004,88.790001,89.889999,88.886833,13609400
2020-05-18,91.900002,93.000000,90.019997,90.269997,89.262589,7648900
2020-05-19,90.330002,90.500000,88.110001,88.220001,87.235466,7693100
2020-05-20,89.580002,90.419998,88.029999,90.089996,89.084595,7488800
2020-05-21,89.639999,90.610001,88.379997,90.389999,89.381248,6148300
2020-05-22,90.419998,91.540001,89.709999,91.470001,90.449196,5184500
2020-05-26,92.949997,93.290001,89.169998,89.480003,88.481407,6243800
2020-05-27,89.279999,90.779999,88.169998,90.760002,89.747116,5420600
2020-05-28,91.949997,93.330002,91.209999,92.099998,91.072166,5316300
2020-05-29,92.900002,95.589996,90.750000,94.919998,93.860687,10141100
2020-06-01,92.949997,93.959999,92.040001,93.010002,91.972015,5451600
2020-06-02,92.919998,93.150002,91.760002,92.620003,91.586365,6394100
2020-06-03,92.559998,92.699997,90.559998,91.400002,90.379982,8056300
2020-06-04,91.050003,91.339996,88.239998,88.250000,87.265129,9113600
2020-06-05,88.470001,89.959999,87.320000,89.860001,88.857170,11874500
2020-06-08,88.980003,92.610001,88.910004,92.559998,91.527031,5426800
2020-06-09,92.320000,92.820000,90.239998,90.269997,89.262589,4857400
2020-06-10,90.849998,92.750000,90.639999,92.160004,91.131500,5829100
2020-06-11,92.169998,92.500000,86.940002,87.779999,86.800385,8168300
2020-06-12,89.250000,90.190002,87.589996,89.019997,88.026535,5590400
2020-06-15,87.519997,90.349998,87.050003,89.550003,88.550629,5666000
2020-06-16,90.620003,91.760002,89.139999,89.739998,88.738503,6143400
2020-06-17,90.419998,91.669998,90.099998,90.900002,89.885567,4359100
2020-06-18,90.500000,91.339996,89.570000,90.279999,89.272484,6022900
2020-06-19,91.669998,92.400002,90.610001,90.680000,89.668007,9473300
2020-06-22,90.330002,90.650002,89.160004,90.339996,89.331802,5072800
2020-06-23,91.110001,92.300003,90.790001,91.300003,90.281090,4156900
2020-06-24,90.629997,90.730003,86.820000,87.300003,86.325737,6141900
2020-06-25,87.239998,89.809998,86.160004,89.620003,88.619850,5781100
2020-06-26,89.820000,89.949997,87.940002,88.709999,87.719994,8522500
2020-06-29,89.580002,89.699997,88.089996,89.010002,88.016655,4669300
2020-06-30,88.750000,91.900002,88.440002,91.430000,90.409645,5220900
2020-07-01,91.980003,91.980003,90.430000,91.639999,90.617302,3389600
2020-07-02,92.500000,93.059998,91.930000,92.230003,91.200714,3845300
2020-07-06,92.760002,93.970001,92.449997,92.970001,91.932457,5919100
2020-07-07,92.459999,93.400002,92.089996,92.459999,91.428146,3389200
2020-07-08,92.839996,93.669998,91.500000,92.580002,91.546806,3815300
2020-07-09,92.739998,94.879997,91.849998,93.669998,92.624641,4576800
2020-07-10,93.470001,93.800003,92.320000,93.040001,92.001678,2923200
2020-07-13,93.139999,95.620003,92.790001,93.089996,92.051117,4297300
2020-07-14,92.639999,94.980003,91.709999,94.820000,94.125816,4122800
2020-07-15,95.900002,97.129997,95.769997,96.730003,96.021835,6205000
2020-07-16,97.849998,97.989998,94.290001,96.400002,95.694252,7582200
2020-07-17,97.870003,100.000000,97.680000,99.250000,98.523384,8315500
2020-07-20,100.000000,100.709999,98.720001,99.080002,98.354630,5677900
2020-07-21,98.879997,99.480003,97.760002,98.190002,97.471146,5064900
2020-07-22,98.110001,100.570000,98.000000,100.190002,99.456505,4662000
2020-07-23,100.279999,101.980003,100.070000,100.820000,100.081894,5905800
2020-07-24,100.209999,100.209999,98.360001,98.949997,98.225578,4534400
2020-07-27,98.550003,100.279999,98.410004,99.989998,99.257965,3717900
2020-07-28,100.139999,100.790001,99.269997,99.860001,99.128914,4114200
2020-07-29,100.180000,102.889999,100.089996,102.519997,101.769432,4744200
2020-07-30,100.980003,101.580002,100.239998,101.529999,100.786690,3176900
2020-07-31,101.209999,101.370003,99.120003,100.639999,99.903206,4604000
2020-08-03,101.080002,101.550003,100.209999,100.680000,99.942909,3670900
2020-08-04,100.160004,100.680000,99.279999,99.930000,99.198410,2730600
2020-08-05,99.970001,102.360001,99.879997,102.139999,101.392220,4416000
2020-08-06,101.519997,101.800003,99.919998,101.750000,101.005074,3943000
2020-08-07,101.699997,102.300003,100.559998,101.230003,100.488892,3141900
2020-08-10,100.940002,101.260002,100.029999,100.040001,99.307602,2776300
2020-08-11,100.430000,100.430000,98.669998,99.059998,98.334770,4823000
2020-08-12,99.550003,101.099998,99.320000,100.650002,99.913132,2668900
2020-08-13,100.339996,101.269997,100.000000,101.099998,100.359833,2951700
2020-08-14,100.930000,101.220001,99.580002,99.989998,99.257965,2739900
2020-08-17,100.300003,101.419998,100.209999,100.709999,99.972687,4657400
2020-08-18,101.089996,101.720001,100.430000,100.959999,100.220863,3777600
2020-08-19,101.080002,101.620003,100.330002,100.480003,99.744377,2716800
2020-08-20,99.989998,102.019997,99.750000,101.629997,100.885956,3548600
2020-08-21,101.629997,102.540001,100.839996,102.400002,101.650322,3585000
2020-08-24,102.699997,103.230003,100.699997,101.389999,100.647720,3212700
2020-08-25,101.980003,102.900002,101.519997,102.470001,101.719810,2626400
2020-08-26,101.989998,103.290001,101.260002,103.190002,102.434540,2968800
2020-08-27,111.010002,114.000000,109.519997,111.290001,110.475235,36319000
2020-08-28,113.540001,114.199997,109.410004,110.790001,109.978897,17204000
2020-08-31,110.699997,111.739998,109.260002,109.470001,108.668556,6943200
2020-09-01,108.930000,109.070000,105.580002,106.550003,105.769943,7968000
2020-09-02,106.449997,109.910004,105.879997,109.440002,108.638779,5843700
2020-09-03,108.699997,108.940002,104.300003,105.529999,104.757401,6096900
2020-09-04,105.449997,106.040001,102.419998,104.160004,103.397438,5027700
2020-09-08,103.169998,103.820000,102.430000,102.839996,102.087097,5217700
2020-09-09,104.260002,106.930000,104.129997,105.809998,105.035355,4365100
2020-09-10,105.599998,105.599998,103.730003,104.000000,103.238609,4271200
2020-09-11,105.279999,105.699997,104.320000,104.699997,103.933479,4111000
2020-09-14,105.589996,106.660004,105.120003,105.690002,104.916237,3824100
2020-09-15,107.000000,107.529999,106.169998,106.580002,105.799721,3654900
2020-09-16,106.949997,107.370003,105.660004,105.699997,104.926155,4242500
