Date,Open,High,Low,Close,Adj Close,Volume
2020-04-09,71.199997,74.260002,70.139999,73.879997,72.416130,19769600
2020-04-13,73.519997,73.599998,70.349998,71.760002,70.338135,11191800
2020-04-14,73.690002,74.330002,72.660004,73.669998,72.210281,10912000
2020-04-15,72.010002,73.180000,70.709999,72.550003,71.112480,10642500
2020-04-16,73.110001,73.760002,71.349998,73.510002,72.053452,11946800
2020-04-17,76.620003,77.389999,74.970001,77.099998,75.572327,14268400
2020-04-20,76.019997,76.980003,75.080002,75.320000,73.827599,9684700
2020-04-21,73.400002,73.959999,71.739998,72.720001,71.279106,10345800
2020-04-22,74.550003,78.059998,74.430000,77.449997,75.915390,11355300
2020-04-23,77.330002,77.669998,74.260002,75.150002,73.660957,15513400
2020-04-24,75.750000,76.029999,74.209999,75.580002,74.082436,8460600
2020-04-27,76.680000,78.040001,76.540001,77.739998,76.199638,8258500
2020-04-28,78.669998,79.610001,76.959999,78.690002,77.130814,12801400
2020-04-29,78.180000,78.750000,76.720001,76.860001,75.337082,24575500
2020-04-30,76.830002,77.639999,75.190002,76.730003,75.209656,15186000
2020-05-01,74.900002,75.879997,73.209999,73.790001,72.327911,11216700
2020-05-04,72.580002,72.620003,71.260002,71.889999,70.465553,12921800
2020-05-05,74.959999,75.080002,72.889999,72.900002,71.455544,12976000
2020-05-06,73.769997,74.849998,72.860001,72.959999,71.514359,12740900
2020-05-07,73.809998,76.029999,73.370003,76.000000,74.915108,13360500
2020-05-08,77.250000,77.930000,75.760002,77.870003,76.758423,11921800
2020-05-11,76.620003,77.180000,75.800003,75.870003,74.786964,9004500
2020-05-12,76.000000,76.730003,74.339996,74.349998,73.288666,8549900
2020-05-13,74.459999,75.750000,72.919998,73.620003,72.569084,11532700
2020-05-14,72.320000,74.290001,70.650002,74.190002,73.130943,11932300
2020-05-15,72.809998,74.639999,72.669998,74.160004,73.101372,9489100
2020-05-18,76.860001,77.500000,76.199997,76.230003,75.141823,8912500
2020-05-19,76.400002,77.220001,75.760002,75.860001,74.777107,6484900
2020-05-20,77.230003,77.839996,76.519997,77.760002,76.649986,7790500
2020-05-21,78.599998,79.379997,77.889999,78.050003,76.935844,10312600
2020-05-22,77.900002,78.050003,76.519997,77.620003,76.511986,7653300
2020-05-26,79.599998,79.919998,77.580002,77.760002,76.649986,8422200
2020-05-27,78.980003,78.980003,77.389999,78.599998,77.477989,8245300
2020-05-28,78.639999,80.059998,77.930000,78.540001,77.418846,8331400
2020-05-29,78.620003,78.639999,77.260002,77.989998,76.876694,10109000
2020-06-01,77.660004,78.650002,76.769997,78.320000,77.201996,7922000
2020-06-02,77.970001,78.260002,76.790001,77.779999,76.669701,9521000
2020-06-03,78.449997,79.949997,78.300003,79.580002,78.444000,9956700
2020-06-04,79.309998,80.169998,78.470001,78.739998,77.615990,7667600
2020-06-05,80.330002,82.330002,79.970001,82.139999,80.967461,12030800
2020-06-08,83.080002,83.620003,82.180000,83.559998,82.367188,10229600
2020-06-09,82.620003,83.220001,81.760002,82.370003,81.194176,7999800
2020-06-10,79.879997,80.029999,78.199997,79.010002,77.882141,19683800
2020-06-11,75.750000,76.790001,72.150002,72.570000,71.534073,26422200
2020-06-12,75.000000,76.720001,73.809998,76.379997,75.289680,18529800
2020-06-15,74.300003,77.910004,74.080002,76.959999,75.861397,14644700
2020-06-16,78.790001,78.940002,76.389999,77.839996,76.728836,10890100
2020-06-17,78.070000,78.290001,76.680000,77.099998,75.999405,6906700
2020-06-18,76.720001,76.790001,75.800003,76.309998,75.220673,8486000
2020-06-19,77.029999,77.379997,74.879997,75.400002,74.323677,12538600
2020-06-22,74.900002,75.650002,73.919998,75.400002,74.323677,8238600
2020-06-23,76.330002,76.370003,75.070000,75.489998,74.412392,8076600
2020-06-24,74.900002,74.919998,72.000000,73.639999,72.588799,12306400
2020-06-25,73.220001,74.110001,72.169998,73.849998,72.795792,8624800
2020-06-26,73.629997,73.769997,71.250000,71.570000,70.548347,17627800
2020-06-29,71.410004,73.500000,71.059998,73.480003,72.431084,8653000
2020-06-30,73.580002,73.879997,72.809998,73.589996,72.539505,11324000
2020-07-01,74.000000,74.690002,73.379997,74.029999,72.973228,6750000
2020-07-02,75.040001,75.089996,73.639999,73.779999,72.726791,6544400
2020-07-06,74.930000,75.480003,74.160004,75.440002,74.363106,7235300
2020-07-07,75.129997,75.230003,74.000000,74.250000,73.190086,7515100
2020-07-08,74.070000,74.500000,73.330002,74.139999,73.081657,7346200
2020-07-09,73.730003,74.220001,71.930000,73.570000,72.519798,9618200
2020-07-10,73.000000,74.559998,72.739998,74.290001,73.229523,7524200
2020-07-13,74.559998,74.839996,72.489998,72.650002,71.612930,9464500
2020-07-14,72.000000,72.970001,71.820000,72.730003,71.691788,8780900
2020-07-15,74.459999,75.809998,73.959999,75.610001,74.530670,10300700
2020-07-16,74.900002,75.139999,73.680000,74.389999,73.328087,6649300
2020-07-17,74.430000,74.550003,73.209999,74.160004,73.101372,6087500
2020-07-20,74.160004,75.220001,73.629997,74.959999,73.889954,8832700
2020-07-21,75.779999,76.800003,75.269997,75.440002,74.363106,10639800
2020-07-22,75.519997,77.330002,75.120003,77.239998,76.137413,9213100
2020-07-23,76.879997,77.070000,74.900002,75.360001,74.284241,7795100
2020-07-24,75.279999,76.000000,75.110001,75.779999,74.698250,5673400
2020-07-27,75.889999,76.709999,75.540001,76.459999,75.368538,6771100
2020-07-28,76.300003,76.389999,74.559998,74.639999,73.574516,12273400
2020-07-29,77.559998,78.489998,76.900002,77.419998,76.314835,15261100
2020-07-30,76.629997,76.980003,75.400002,76.639999,75.545967,7889800
2020-07-31,76.239998,76.540001,75.480003,76.529999,75.437538,7425000
2020-08-03,76.480003,76.599998,75.440002,75.500000,74.422241,7138300
2020-08-04,75.370003,75.489998,74.760002,75.129997,74.057526,12792400
2020-08-05,75.349998,75.989998,75.330002,75.779999,74.698250,7823100
2020-08-06,75.199997,75.919998,74.940002,75.660004,74.985664,6764800
2020-08-07,75.480003,75.930000,75.209999,75.790001,75.114502,6569300
2020-08-10,75.820000,77.669998,75.809998,77.470001,76.779533,6604300
2020-08-11,78.269997,79.980003,78.000000,78.870003,78.167053,10238500
2020-08-12,79.589996,79.690002,78.669998,79.290001,78.583313,5378800
2020-08-13,78.919998,79.639999,78.839996,79.019997,78.315712,4383400
2020-08-14,78.540001,78.930000,78.019997,78.370003,77.671509,3771300
2020-08-17,78.599998,78.959999,78.120003,78.949997,78.246338,5360400
2020-08-18,79.150002,79.360001,78.349998,78.989998,78.285980,5272700
2020-08-19,79.180000,79.389999,77.430000,77.629997,76.938103,6840600
2020-08-20,77.029999,77.650002,76.459999,77.220001,76.531761,5099500
2020-08-21,76.940002,77.269997,76.690002,77.070000,76.383095,5594100
2020-08-24,77.709999,79.139999,77.250000,78.680000,77.978745,5867400
2020-08-25,80.059998,83.070000,79.790001,82.720001,81.982742,17659500
2020-08-26,82.419998,82.750000,81.879997,82.410004,81.675507,7934300
2020-08-27,82.750000,83.639999,82.500000,83.410004,82.666588,9099200
2020-08-28,83.790001,85.290001,83.430000,85.000000,84.242416,9303900
2020-08-31,84.629997,85.360001,84.029999,84.470001,83.717140,6401600
2020-09-01,84.699997,86.089996,84.230003,86.050003,85.283058,8168800
2020-09-02,86.510002,88.750000,86.290001,88.349998,87.562553,11378900
2020-09-03,88.599998,88.980003,85.690002,86.480003,85.709229,11036600
2020-09-04,87.089996,87.779999,85.309998,86.269997,85.501091,10349400
2020-09-08,85.269997,87.580002,84.769997,85.410004,84.648766,11083100
2020-09-09,85.930000,86.830002,84.459999,85.860001,85.094749,6928700
2020-09-10,85.800003,87.070000,84.529999,84.879997,84.123489,7552000
