Date,Open,High,Low,Close,Adj Close,Volume
2020-04-09,2.030000,2.180000,2.030000,2.160000,2.160000,265500
2020-04-13,2.200000,2.200000,2.080000,2.170000,2.170000,99400
2020-04-14,2.200000,2.410000,2.140000,2.220000,2.220000,208500
2020-04-15,2.230000,2.230000,2.010000,2.120000,2.120000,128000
2020-04-16,2.150000,2.160000,2.070000,2.120000,2.120000,73400
2020-04-17,2.210000,2.210000,2.090000,2.140000,2.140000,82900
2020-04-20,2.140000,2.150000,2.040000,2.050000,2.050000,135700
2020-04-21,2.070000,2.080000,1.910000,1.960000,1.960000,184100
2020-04-22,1.990000,2.010000,1.940000,1.970000,1.970000,105900
2020-04-23,1.980000,2.070000,1.950000,2.000000,2.000000,248900
2020-04-24,2.000000,2.290000,1.960000,2.220000,2.220000,464000
2020-04-27,2.250000,2.290000,2.100000,2.160000,2.160000,211100
2020-04-28,2.140000,2.300000,2.140000,2.290000,2.290000,115200
2020-04-29,2.300000,2.610000,2.300000,2.450000,2.450000,349900
2020-04-30,2.400000,2.400000,2.200000,2.250000,2.250000,234000
2020-05-01,2.170000,2.240000,2.120000,2.200000,2.200000,104900
2020-05-04,2.130000,2.320000,2.050000,2.280000,2.280000,89200
2020-05-05,2.300000,2.370000,2.100000,2.130000,2.130000,127400
2020-05-06,2.190000,2.300000,1.970000,2.030000,2.030000,285300
2020-05-07,2.170000,2.230000,2.030000,2.110000,2.110000,493700
2020-05-08,2.130000,3.090000,2.130000,2.900000,2.900000,1770200
2020-05-11,2.790000,3.010000,2.610000,2.670000,2.670000,477200
2020-05-12,2.710000,2.870000,2.680000,2.690000,2.690000,259800
2020-05-13,2.500000,2.590000,2.220000,2.300000,2.300000,344000
2020-05-14,2.260000,2.640000,2.250000,2.590000,2.590000,282100
2020-05-15,2.570000,2.590000,2.430000,2.460000,2.460000,209300
2020-05-18,2.710000,2.750000,2.420000,2.440000,2.440000,279300
2020-05-19,2.430000,2.800000,2.400000,2.730000,2.730000,560000
2020-05-20,2.770000,2.970000,2.510000,2.570000,2.570000,559700
2020-05-21,2.650000,2.720000,2.560000,2.660000,2.660000,250300
2020-05-22,2.690000,2.730000,2.540000,2.720000,2.720000,196600
2020-05-26,2.720000,2.850000,2.670000,2.730000,2.730000,152600
2020-05-27,2.540000,2.740000,2.520000,2.710000,2.710000,177400
2020-05-28,2.630000,2.680000,2.520000,2.530000,2.530000,114700
2020-05-29,2.520000,2.690000,2.470000,2.480000,2.480000,256800
2020-06-01,2.480000,2.680000,2.480000,2.610000,2.610000,212700
2020-06-02,2.600000,2.720000,2.530000,2.670000,2.670000,295200
2020-06-03,2.610000,2.660000,2.550000,2.590000,2.590000,222000
2020-06-04,2.560000,2.700000,2.500000,2.610000,2.610000,422000
2020-06-05,2.600000,2.820000,2.590000,2.720000,2.720000,427500
2020-06-08,2.720000,2.780000,2.560000,2.640000,2.640000,557900
